repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
kumahq/kuma,155,12,2,10,0,10,83.33,0,0,0,0,92,191,997,2,1292,1090,1311,91.7,91.7,153,193,275
kyverno/kyverno,317,174,68,89,17,106,60.92,20,8,7,5,109,306,2082,2,2694,739,645,83.9,66.7,258,642,708
labstack/echo,156,13,10,0,3,3,23.08,0,0,0,0,3,4,10,2,19,1013,1267,92.3,84.6,20,28,137
larksuite/cli,196,53,50,2,1,3,5.66,12,8,1,3,22,35,75,2,165,1026,1325,83.0,77.4,38,44,44
lc/gau,194,51,2,48,1,49,96.08,16,2,3,11,8,18,23,2,67,969,1267,82.4,74.5,5,16,26
letsencrypt/boulder,233,90,86,4,0,4,4.44,0,0,0,0,42,43,284,2,589,755,785,73.3,64.4,114,288,456
libp2p/go-libp2p,241,98,47,48,3,51,52.04,22,1,1,20,57,39,192,2,311,813,874,77.6,63.3,47,115,291
lib/pq,155,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,3,,,,,,,32
lightningnetwork/lnd,271,128,43,83,2,85,66.41,28,4,10,14,64,126,657,2,993,756,646,77.3,68.8,97,245,355
lima-vm/lima,233,90,57,33,0,33,36.67,6,0,6,0,50,58,284,2,451,799,800,70.0,62.2,40,97,97
lindb/lindb,252,109,12,97,0,97,88.99,42,8,4,30,44,134,482,2,1202,868,939,78.0,70.6,6,13,13
link1st/go-stress-testing,194,51,47,3,1,4,7.84,8,2,1,5,6,2,166,2,182,911,1171,80.4,74.5,9,15,22
link1st/gowebsocket,233,90,12,78,0,78,86.67,22,1,8,13,7,37,224,2,353,846,950,74.4,67.8,3,7,10
linkedin/Burrow,223,80,1,79,0,79,98.75,21,0,1,20,16,55,86,2,195,792,853,72.5,62.5,1,1,1
linkerd/linkerd2,272,129,30,97,2,99,76.74,19,1,5,13,49,110,496,2,943,837,785,81.4,72.1,119,267,448
livekit/livekit,241,98,12,86,0,86,87.76,20,0,2,18,56,98,306,2,591,755,744,74.5,64.3,29,113,146
lonng/nano,193,49,0,46,3,49,100.00,24,4,6,14,0,18,47,2,199,928,1171,81.6,75.5,1,1,3
looplj/axonhub,263,120,53,67,0,67,55.83,21,2,1,18,67,143,699,2,1489,768,698,77.5,65.8,96,128,128
loov/lensm,167,13,0,13,0,13,100.00,4,1,1,2,5,5,30,2,42,909,1030,69.2,69.2,2,5,5
Loyalsoldier/geoip,170,27,9,17,1,18,66.67,0,0,0,0,11,11,176,2,201,1284,1382,92.6,92.6,3,3,3
lucaslorentz/caddy-docker-proxy,307,164,38,126,0,126,76.83,29,8,20,1,6,176,682,2,948,668,645,78.0,61.0,7,25,46
luraproject/lura,231,88,47,41,0,41,46.59,22,0,4,18,10,27,64,2,112,786,800,75.0,62.5,18,42,62
lxc/incus,223,80,80,0,0,0,0.00,0,0,0,0,73,107,361,2,1116,772,785,71.3,62.5,24,41,41
m3db/m3,205,62,54,8,0,8,12.90,25,0,0,25,82,97,421,2,2203,972,1214,83.9,77.4,3,13,101
magefile/mage,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,1
mailru/easyjson,155,0,0,0,0,0,0.00,0,0,0,0,1,0,0,1,3,,,,,,,1
majd/ipatool,190,47,39,8,0,8,17.02,8,0,1,7,13,42,108,2,177,871,1030,80.9,72.3,10,33,33
mark3labs/mcp-go,158,4,0,3,1,4,100.00,0,0,0,0,6,6,20,2,36,1576,1554,100.0,100.0,1,1,1
markbates/goth,192,49,9,29,11,40,81.63,14,0,0,14,11,19,19,2,100,694,695,71.4,61.2,6,22,74
masterking32/MasterDnsVPN,185,42,32,0,10,10,23.81,14,0,1,13,5,0,5,2,12,708,614,64.3,57.1,1,1,1
maxence-charriere/go-app,215,72,41,30,1,31,43.06,19,5,0,14,5,5,11,2,86,745,740,70.8,62.5,1,1,1
mayswind/ezbookkeeping,242,99,77,20,2,22,22.22,22,0,9,13,29,73,180,2,308,780,785,75.8,64.6,12,21,21
mcuadros/ofelia,189,35,31,4,0,4,11.43,3,2,1,0,15,28,48,2,97,598,645,91.4,77.1,1,1,1
Melkeydev/go-blueprint,160,6,0,6,0,6,100.00,1,0,1,0,5,17,21,2,48,1287,1413,83.3,83.3,65,78,78
metallb/metallb,155,12,1,10,1,11,91.67,0,0,0,0,25,117,367,2,602,1090,1311,91.7,91.7,1,1,1
mgechev/revive,160,16,0,6,10,16,100.00,0,0,0,0,10,4,16,2,32,1123,1340,87.5,87.5,22,38,45
mickael-kerjean/filestash,157,14,11,1,2,3,21.43,0,0,0,0,43,69,316,2,467,1029,1232,92.9,92.9,0,0,6
micro-editor/micro,163,9,6,3,0,3,33.33,1,0,1,0,18,9,23,2,54,1426,1413,88.9,88.9,1,1,1
microsoft/ethr,186,43,42,0,1,1,2.33,8,0,1,7,4,2,7,2,15,881,1197,79.1,72.1,0,0,5
microsoft/retina,308,165,63,102,0,102,61.82,20,2,5,13,80,584,2263,2,3163,759,646,84.8,73.3,40,62,62
microsoft/typescript-go,160,16,6,0,10,10,62.50,1,0,1,0,11,4,24,2,41,1123,1340,87.5,87.5,0,0,0
micro/go-micro,236,93,82,11,0,11,11.83,29,4,2,23,43,63,274,2,591,841,892,73.1,66.7,1,1,1
miekg/dns,158,15,11,0,4,4,26.67,0,0,0,0,4,1,8,2,15,1246,1396,93.3,93.3,20,30,88
MightyMoud/sidekick,220,77,59,8,10,18,23.38,16,9,7,0,16,78,221,2,391,721,645,77.9,71.4,8,13,13
mikefarah/yq,189,46,42,3,1,4,8.70,6,0,5,1,22,10,43,2,83,930,1214,80.4,73.9,47,127,207
milvus-io/milvus,157,14,11,1,2,3,21.43,0,0,0,0,70,224,888,2,2049,955,1232,92.9,78.6,136,183,217
mindoc-org/mindoc,238,95,6,89,0,89,93.68,37,0,0,37,15,37,122,2,251,806,892,72.6,65.3,2,6,39
miniflux/v2,238,95,80,12,3,15,15.79,0,0,0,0,13,22,67,2,167,745,702,72.6,62.1,34,71,102
mjl-/mox,221,78,76,2,0,2,2.56,27,8,2,17,16,12,64,2,134,788,853,70.5,62.8,7,15,15
mlabouardy/komiser,247,104,15,89,0,89,85.58,35,4,13,18,102,132,498,2,874,882,958,77.9,70.2,23,50,56
mmcgrana/gobyexample,155,0,0,0,0,0,0.00,0,0,0,0,5,16,11,2,41,,,,,,,0
mmulet/term.everything,155,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,3,,,,,,,8
moby/buildkit,271,128,98,24,6,30,23.44,20,9,5,6,112,115,1051,2,1419,689,637,77.3,60.2,119,255,308
moby/moby,276,133,81,50,2,52,39.10,0,0,0,0,112,180,1416,2,1921,723,645,77.4,60.9,124,233,572
moby/swarmkit,227,84,74,10,0,10,11.90,27,2,2,23,31,41,401,2,633,792,853,71.4,63.1,1,1,1
modelcontextprotocol/go-sdk,161,17,1,3,13,16,94.12,1,0,0,1,8,2,13,2,25,809,960,70.6,70.6,19,26,26
modelcontextprotocol/registry,244,101,11,89,1,90,89.11,13,0,0,13,21,57,415,2,498,738,696,72.3,64.4,23,34,34
moncho/dry,190,47,32,5,10,15,31.91,14,5,5,4,19,34,88,2,146,698,695,66.0,57.4,4,8,61
mongodb/mongo-go-driver,186,43,29,3,11,14,32.56,13,0,0,13,8,2,7,2,278,773,785,67.4,60.5,41,101,159
montanaflynn/stats,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,19
MontFerret/ferret,157,4,0,3,1,4,100.00,1,0,1,0,9,8,46,2,65,1064,1413,75.0,75.0,21,26,64
moonD4rk/HackBrowserData,161,17,7,0,10,10,58.82,1,0,1,0,15,22,33,2,84,1151,1372,88.2,88.2,4,10,36
mostlygeek/llama-swap,227,84,8,76,0,76,90.48,21,0,8,13,9,37,45,2,100,866,1020,73.8,66.7,108,162,162
moul/assh,264,121,6,115,0,115,95.04,23,2,3,18,25,61,93,2,193,770,646,80.2,69.4,4,11,76
mpolden/echoip,157,3,0,3,0,3,100.00,1,0,1,0,1,2,6,2,11,944,1413,66.7,66.7,0,0,0
mr-karan/doggo,231,88,54,34,0,34,38.64,19,1,0,18,16,25,172,2,215,778,784,75.0,60.2,1,1,1
Mrs4s/go-cqhttp,202,59,46,3,10,13,22.03,23,1,1,21,24,36,55,2,163,823,960,69.5,62.7,4,19,97
mudler/LocalAI,157,14,1,11,2,13,92.86,0,0,0,0,88,407,1611,2,2686,1006,1232,92.9,92.9,111,154,154
muesli/duf,160,6,3,3,0,3,50.00,1,0,1,0,10,6,15,2,33,1287,1413,83.3,83.3,3,5,14
muety/wakapi,250,107,39,68,0,68,63.55,20,0,1,19,47,61,177,2,340,726,695,72.9,62.6,25,87,136
mutagen-io/mutagen,196,53,50,0,3,3,5.66,7,0,2,5,23,5,64,2,96,901,1030,81.1,75.5,16,51,112
mvdan/gofumpt,155,11,1,0,10,10,90.91,0,0,0,0,6,3,14,2,26,1060,1267,90.9,90.9,1,1,1
mvdan/sh,157,13,3,0,10,10,76.92,1,0,1,0,8,5,18,2,34,1006,1267,84.6,84.6,7,9,62
nakabonne/ali,189,46,0,45,1,46,100.00,8,2,1,5,9,15,44,2,97,930,1214,80.4,73.9,1,1,1
nalgeon/redka,155,0,0,0,0,0,0.00,0,0,0,0,4,2,3,2,11,,,,,,,11
