repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
projectcalico/calico,234,91,58,32,1,33,36.26,19,0,0,19,120,259,1198,2,1967,844,939,74.7,67.0,69,371,2222
projectdiscovery/httpx,239,96,48,48,0,48,50.00,13,0,0,13,50,125,517,2,999,839,926,76.0,62.5,22,51,65
projectdiscovery/interactsh,237,94,4,88,2,90,95.74,21,2,6,13,28,112,309,2,768,846,926,75.5,64.9,1,1,1
projectdiscovery/katana,242,99,43,56,0,56,56.57,22,6,3,13,35,155,427,2,942,857,960,74.7,64.6,12,21,21
projectdiscovery/naabu,235,92,45,47,0,47,51.09,21,2,6,13,31,97,297,2,727,849,960,75.0,64.1,14,30,42
projectdiscovery/nuclei,314,171,70,97,4,101,59.06,21,15,6,0,130,293,946,2,1893,808,675,82.5,71.9,46,120,143
projectdiscovery/proxify,245,102,44,58,0,58,56.86,40,12,10,18,20,119,249,2,542,860,960,77.5,64.7,5,12,15
projectdiscovery/subfinder,235,92,1,91,0,91,98.91,21,2,6,13,16,107,258,2,685,849,960,75.0,64.1,15,31,61
prometheus-community/postgres_exporter,227,84,6,78,0,78,92.86,21,0,3,18,12,28,76,2,130,834,960,73.8,66.7,9,19,43
prometheus-community/windows_exporter,224,81,5,76,0,76,93.83,0,0,0,0,11,25,63,2,109,802,892,72.8,65.4,38,70,122
prometheus-operator/prometheus-operator,246,103,52,51,0,51,49.51,13,0,0,13,41,114,635,2,889,846,955,75.7,67.0,121,270,363
prometheus/alertmanager,158,15,12,2,1,3,20.00,0,0,0,0,51,70,208,2,1132,1048,1197,93.3,93.3,18,23,90
prometheus/blackbox_exporter,237,94,55,39,0,39,41.49,13,0,0,13,15,28,112,2,166,815,835,75.5,66.0,4,13,34
prometheus/client_golang,160,17,5,10,2,12,70.59,1,0,1,0,12,12,37,2,67,1053,1267,88.2,88.2,19,25,61
prometheus/node_exporter,223,80,5,75,0,75,93.75,0,0,0,0,26,28,88,2,153,795,853,72.5,65.0,9,22,60
prometheus/prometheus,257,114,29,85,0,85,74.56,2,0,0,2,107,139,175,2,1413,898,958,78.1,70.2,168,337,530
prometheus/pushgateway,223,80,4,76,0,76,95.00,0,0,0,0,9,25,274,2,319,795,853,72.5,65.0,7,16,40
protocolbuffers/protobuf-go,157,2,0,0,2,2,100.00,0,0,0,0,2,0,4,2,9,993,993,100.0,100.0,20,22,37
psviderski/uncloud,155,12,12,0,0,0,0.00,0,0,0,0,53,298,1058,2,1686,1090,1311,91.7,91.7,1,1,1
pterm/pterm,160,6,3,3,0,3,50.00,1,0,1,0,9,9,33,2,87,1287,1413,83.3,83.3,40,70,111
PuerkitoBio/goquery,184,41,39,0,2,2,4.88,0,0,0,0,2,0,6,2,74,889,1197,80.5,73.2,7,14,33
pulumi/kubespy,245,102,4,98,0,98,96.08,23,11,7,5,7,162,556,2,809,798,835,75.5,65.7,1,3,8
putyy/res-downloader,190,47,43,4,0,4,8.51,12,0,3,9,7,24,108,2,149,932,1197,80.9,74.5,17,25,25
qax-os/excelize,215,72,71,0,1,1,1.39,19,0,5,14,9,4,11,2,26,786,839,70.8,62.5,5,13,26
qdm12/ddns-updater,193,50,46,3,1,4,8.00,7,0,1,6,14,16,83,2,115,916,1197,82.0,72.0,1,1,1
qjfoidnh/BaiduPCS-Go,225,82,76,6,0,6,7.32,52,0,2,50,18,16,58,2,224,848,985,73.2,65.9,1,1,1
qor/qor,186,43,2,39,2,41,95.35,7,0,5,2,11,21,39,2,94,923,1197,81.4,74.4,0,2,6
quackduck/devzat,235,92,42,50,0,50,54.35,31,11,12,8,20,35,97,2,191,826,950,71.7,65.2,1,1,1
QuantumNous/new-api,251,108,94,9,5,14,12.96,23,1,8,14,56,75,229,2,411,801,795,73.1,63.9,406,662,662
quay/clair,242,99,58,41,0,41,41.41,13,0,0,13,41,57,199,2,362,735,785,70.7,62.6,11,62,137
quic-go/quic-go,224,81,71,3,7,10,12.35,13,0,0,13,8,10,24,2,99,764,785,72.8,61.7,33,82,130
quii/learn-go-with-tests,158,3,3,0,0,0,0.00,1,1,0,0,3,0,1,2,6,1127,979,100.0,100.0,12,26,70
rakyll/hey,187,44,39,3,2,5,11.36,7,2,0,5,1,1,8,2,12,940,1214,81.8,75.0,1,1,6
rakyll/statik,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,1
rancher/rancher,409,266,192,37,37,74,27.82,31,18,10,3,121,233,1096,2,1563,748,646,88.7,79.3,558,1059,2462
rancher/rke,319,176,120,55,1,56,31.82,45,18,20,7,34,109,416,2,1460,781,646,85.2,78.4,2,2,2
rclone/rclone,266,123,84,36,3,39,31.71,0,0,0,0,109,165,641,2,1324,787,702,76.4,64.2,26,53,137
rcourtman/Pulse,241,98,43,55,0,55,56.12,22,3,10,9,29,79,186,2,337,882,985,75.5,69.4,311,438,438
redis/go-redis,158,4,0,1,3,4,100.00,0,0,0,0,5,2,6,2,15,674,428,100.0,100.0,6,6,6
replicate/cog,275,132,74,58,0,58,43.94,22,0,0,22,39,106,502,2,677,704,646,78.8,69.7,100,242,245
restic/restic,232,89,76,13,0,13,14.61,19,1,9,9,34,59,408,2,580,758,785,73.0,65.2,8,19,51
reviewdog/reviewdog,235,92,6,86,0,86,93.48,21,1,12,8,26,46,493,2,1091,802,800,75.0,68.5,9,22,44
rfjakob/gocryptfs,188,45,35,0,10,10,22.22,14,0,0,14,11,0,16,2,34,770,785,66.7,60.0,7,21,69
rh12503/triangula,155,0,0,0,0,0,0.00,0,0,0,0,4,3,8,2,82,,,,,,,12
rhysd/actionlint,186,43,42,0,1,1,2.33,8,5,1,2,12,2,9,2,25,881,1197,79.1,72.1,16,57,57
riverqueue/river,167,12,8,4,0,4,33.33,0,0,0,0,12,9,24,2,119,1197,1374,83.3,83.3,431,530,530
rivo/tview,160,6,0,6,0,6,100.00,1,0,1,0,3,5,6,2,72,1287,1413,83.3,83.3,1,1,1
roadrunner-server/roadrunner,266,123,0,123,0,123,100.00,19,1,0,18,49,158,732,2,1187,754,700,79.7,65.0,44,178,291
rocboss/paopao-ce,250,107,44,63,0,63,58.88,35,10,10,15,62,109,472,2,698,769,785,73.8,63.6,27,69,69
rook/rook,242,99,7,92,0,92,92.93,13,0,0,13,45,122,504,2,2343,867,960,75.8,68.7,85,191,283
rorkai/App-Store-Connect-CLI,192,49,37,12,0,12,24.49,14,0,1,13,20,40,147,2,237,766,785,69.4,61.2,113,160,160
rosedblabs/rosedb,155,1,0,1,0,1,100.00,0,0,0,0,7,6,5,2,22,1413,1413,100.0,100.0,16,16,19
router-for-me/CLIProxyAPI,245,102,86,16,0,16,15.69,24,10,14,0,27,66,129,2,234,805,810,76.5,65.7,1,1,1
rqlite/rqlite,155,12,10,2,0,2,16.67,0,0,0,0,18,53,243,2,466,1090,1311,91.7,91.7,196,244,341
rs/curlie,157,3,3,0,0,0,0.00,1,0,1,0,2,0,1,2,5,944,1413,66.7,66.7,4,6,35
rs/xid,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,9
rs/zerolog,157,3,0,3,0,3,100.00,1,0,1,0,4,2,4,2,12,944,1413,66.7,66.7,1,1,1
rudderlabs/rudder-server,263,120,23,96,1,97,80.83,0,0,0,0,105,258,1446,2,2786,800,762,79.2,67.5,241,445,458
runatlantis/atlantis,246,103,14,86,3,89,86.41,0,0,0,0,52,85,222,2,805,803,785,77.7,66.0,35,96,158
runfinch/finch,272,129,71,58,0,58,44.96,8,2,6,0,38,134,574,2,888,732,646,79.1,69.8,28,53,53
s0md3v/Smap,187,44,0,42,2,44,100.00,6,0,1,5,1,2,10,2,15,940,1214,81.8,75.0,1,1,1
sa7mon/S3Scanner,235,92,2,90,0,90,97.83,27,7,3,17,16,49,88,2,217,711,581,73.9,58.7,3,10,14
safing/portmaster,155,12,11,1,0,1,8.33,0,0,0,0,69,94,330,2,650,1090,1311,91.7,91.7,72,101,198
SagerNet/sing-box,234,91,82,9,0,9,9.89,23,9,8,6,62,102,357,2,533,852,960,74.7,65.9,1,1,1
samber/lo,158,3,3,0,0,0,0.00,0,0,0,0,4,6,11,2,27,1630,1695,100.0,100.0,50,64,64
samber/mo,156,2,0,1,1,2,100.00,0,0,0,0,2,6,13,2,27,1394,1394,100.0,100.0,20,20,21
sammwyy/MikuMikuBeam,221,78,2,76,0,76,97.44,32,3,1,28,8,23,30,2,70,814,926,71.8,64.1,0,0,0
schachmat/wego,157,3,0,3,0,3,100.00,1,0,1,0,5,3,1,2,11,944,1413,66.7,66.7,2,3,6
schollz/croc,215,72,71,1,0,1,1.39,19,0,0,19,19,10,24,2,123,739,740,69.4,59.7,28,72,188
schollz/progressbar,157,3,0,3,0,3,100.00,1,0,1,0,6,6,5,2,19,944,1413,66.7,66.7,16,24,96
screego/server,195,52,36,6,10,16,30.77,14,0,1,13,16,25,55,2,106,820,853,71.2,63.5,1,1,1
seaweedfs/seaweedfs,266,123,102,20,1,21,17.07,8,0,0,8,121,381,1614,2,3529,778,771,75.6,66.7,65,184,342
securego/gosec,233,90,32,58,0,58,64.44,0,0,0,0,18,42,258,2,916,859,960,73.3,66.7,26,52,65
segmentio/kafka-go,155,12,10,0,2,2,16.67,0,0,0,0,5,6,10,2,50,1090,1311,91.7,91.7,1,1,1
semaphoreui/semaphore,236,93,45,48,0,48,51.61,21,10,4,7,29,43,127,2,218,716,533,72.0,60.2,231,489,517
sensepost/gowitness,199,56,3,52,1,53,94.64,7,0,6,1,20,74,184,2,308,874,995,80.4,69.6,7,15,43
shadow1ng/fscan,226,83,82,1,0,1,1.20,32,7,8,17,32,40,176,2,329,841,960,73.5,65.1,1,1,1
shazow/ssh-chat,188,45,35,0,10,10,22.22,19,10,3,6,8,0,5,2,44,770,785,66.7,60.0,0,2,20
shirou/gopsutil,157,3,3,0,0,0,0.00,1,0,1,0,8,5,8,2,24,944,1413,66.7,66.7,32,48,121
Shopify/toxiproxy,160,16,1,5,10,15,93.75,1,0,1,0,6,16,41,2,65,1030,1232,87.5,87.5,6,8,33
shopspring/decimal,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,7
shyiko/jabba,158,4,3,1,0,1,25.00,3,3,0,0,9,12,7,2,33,1630,1642,100.0,100.0,0,0,25
siderolabs/talos,244,101,62,39,0,39,38.61,0,0,0,0,168,223,1392,2,4094,796,785,76.2,66.3,191,464,602
sigstore/cosign,277,134,59,73,2,75,55.97,21,3,7,11,61,236,1299,2,1760,733,646,81.3,64.2,24,75,77
silenceper/wechat,190,47,34,0,13,13,27.66,21,0,2,19,10,0,28,2,118,775,785,68.1,59.6,12,37,57
simeji/jid,155,1,0,1,0,1,100.00,0,0,0,0,9,11,7,2,38,1413,1413,100.0,100.0,1,1,1
simulot/immich-go,198,55,1,44,10,54,98.18,17,8,7,2,19,24,58,2,143,740,702,67.3,58.2,66,131,131
sipeed/picoclaw,155,12,12,0,0,0,0.00,0,0,0,0,53,76,227,2,483,1090,1311,91.7,91.7,1,1,1
sirupsen/logrus,159,5,3,1,1,2,40.00,1,0,1,0,2,3,3,2,10,874,1375,80.0,60.0,4,7,62
six-ddc/plow,191,48,1,46,1,47,97.92,8,1,0,7,9,12,25,2,59,997,1267,83.3,77.1,4,12,12
six2dez/OneListForAll,155,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,3,,,,,,,11
slack-go/slack,156,1,1,0,0,0,0.00,0,0,0,0,3,3,3,2,12,1870,1870,100.0,100.0,49,49,70
slackhq/nebula,225,82,80,0,2,2,2.44,19,8,1,10,33,14,147,2,332,820,926,73.2,63.4,11,23,27
smallnest/rpcx,202,59,48,11,0,11,18.64,8,0,3,5,35,37,132,2,450,990,1197,84.7,79.7,32,67,77
smallstep/certificates,257,114,87,24,3,27,23.68,2,0,0,2,42,126,794,2,1063,719,695,74.6,62.3,39,135,245
smallstep/cli,253,110,47,63,0,63,57.27,0,0,0,0,30,107,845,2,1072,707,692,73.6,60.9,61,206,352
smartcontractkit/chainlink,333,190,82,108,0,108,56.84,24,0,0,24,146,273,2032,2,3183,814,742,84.2,72.1,505,881,949
smtg-ai/claude-squad,160,17,3,14,0,14,82.35,1,0,1,0,14,34,80,2,149,1141,1354,88.2,88.2,1,1,1
sony/gobreaker,155,0,0,0,0,0,0.00,0,0,0,0,1,0,3,2,6,,,,,,,13
sony/sonyflake,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,1
sosedoff/pgweb,231,88,34,54,0,54,61.36,21,5,7,9,14,44,105,2,184,799,835,75.0,63.6,7,18,56
soundcloud/roshi,158,4,1,1,2,3,75.00,2,0,0,2,5,7,16,2,73,1203,1292,100.0,100.0,0,0,2
sourcegraph/conc,155,0,0,0,0,0,0.00,0,0,0,0,1,6,5,2,26,,,,,,,3
SpecterOps/BloodHound,242,99,48,51,0,51,51.52,21,1,1,19,42,284,565,2,3485,798,804,73.7,65.7,179,294,294
spegel-org/spegel,253,110,10,100,0,100,90.91,21,1,2,18,24,162,713,2,1473,763,784,79.1,62.7,20,40,40
spf13/afero,158,3,3,0,0,0,0.00,0,0,0,0,1,0,4,2,7,1630,1695,100.0,100.0,18,21,41
spf13/cast,155,0,0,0,0,0,0.00,0,0,0,0,1,4,3,2,10,,,,,,,17
spf13/cobra,155,0,0,0,0,0,0.00,0,0,0,0,4,0,2,2,8,,,,,,,29
spf13/viper,162,8,2,6,0,6,75.00,1,0,1,0,10,7,15,2,34,1037,1369,87.5,62.5,19,34,53
sqlc-dev/sqlc,200,57,10,46,1,47,82.46,7,0,2,5,24,20,93,2,144,869,960,78.9,71.9,12,29,40
sqldef/sqldef,191,48,0,38,10,48,100.00,14,0,1,13,12,25,73,2,117,765,800,68.8,60.4,130,318,394
stackrox/kube-linter,267,124,20,104,0,104,83.87,21,2,1,18,25,133,629,2,836,817,762,81.5,70.2,20,46,58
stakater/Reloader,202,59,8,50,1,51,86.44,0,0,0,0,13,60,349,2,453,985,1231,84.7,78.0,2,2,2
stefanprodan/podinfo,208,65,54,9,2,11,16.92,6,0,1,5,32,45,145,2,248,888,960,84.6,73.8,1,1,1
stern/stern,198,55,5,49,1,50,90.91,7,1,1,5,16,57,128,2,230,978,1231,83.6,78.2,10,22,27
storj/storj,199,56,47,9,0,9,16.07,14,0,0,14,93,132,749,2,1176,717,537,71.4,60.7,285,670,1007
stretchr/testify,156,1,1,0,0,0,0.00,0,0,0,0,2,0,1,2,5,1375,1375,100.0,100.0,9,9,31
sundowndev/phoneinfoga,232,89,5,84,0,84,94.38,41,6,15,20,12,55,96,2,871,830,939,74.2,65.2,7,23,58
superfly/litefs,160,17,14,2,1,3,17.65,2,0,0,2,13,29,92,2,594,1053,1267,88.2,88.2,1,1,1
superstreamlabs/memphis,278,135,82,53,0,53,39.26,49,14,13,22,40,86,275,2,634,827,699,80.0,73.3,9,29,29
SurgeDM/Surge,157,3,0,3,0,3,100.00,1,0,1,0,17,38,72,2,137,944,1413,66.7,66.7,36,54,54
swaggo/gin-swagger,226,83,42,41,0,41,49.40,21,0,7,14,6,36,57,2,163,860,1009,73.5,66.3,3,13,17
swaggo/swag,161,17,3,3,11,14,82.35,0,0,0,0,8,18,23,2,51,1274,1368,94.1,94.1,20,35,58
syncthing/syncthing,229,86,84,1,1,2,2.33,13,0,0,13,46,50,142,2,338,782,800,74.4,64.0,96,222,676
tailscale/tailscale,306,163,103,57,3,60,36.81,6,0,2,4,156,346,1342,2,2306,808,738,81.0,69.9,89,190,226
tair-opensource/RedisShake,161,18,0,7,11,18,100.00,1,0,1,0,10,24,97,2,144,1154,1365,88.9,88.9,26,47,91
talkgo/night,155,0,0,0,0,0,0.00,0,0,0,0,1,3,1,2,11,,,,,,,0
TangSengDaoDao/TangSengDaoDaoServer,270,127,63,64,0,64,50.39,55,16,14,25,39,120,512,2,1213,864,939,79.5,70.9,3,6,6
taubyte/tau,321,178,143,35,0,35,19.66,46,32,7,7,95,234,1070,2,1688,750,668,82.0,69.7,10,23,23
tbphp/gpt-load,232,89,43,46,0,46,51.69,21,0,8,13,20,40,121,2,192,780,785,73.0,64.0,1,1,1
tdewolff/minify,158,4,0,4,0,4,100.00,1,0,1,0,5,4,8,2,20,1052,1394,75.0,75.0,62,83,159
TecharoHQ/anubis,203,60,53,6,1,7,11.67,9,5,4,0,31,163,409,2,657,865,960,81.7,75.0,30,41,41
teivah/100-go-mistakes,155,0,0,0,0,0,0.00,0,0,0,0,1,0,0,1,3,,,,,,,0
tektoncd/pipeline,254,111,51,57,3,60,54.05,6,1,0,5,47,152,695,2,2039,747,702,73.0,64.9,73,184,238
temporalio/temporal,254,111,23,83,5,88,79.28,20,1,1,18,76,140,633,2,969,780,738,76.6,65.8,211,393,502
TencentBlueKing/bk-cmdb,155,12,0,12,0,12,100.00,0,0,0,0,61,88,253,2,1012,1090,1311,91.7,91.7,141,182,361
tendermint/tendermint,236,93,81,9,3,12,12.90,45,4,7,34,43,215,625,2,1773,852,960,75.3,67.7,7,39,244
terraform-docs/terraform-docs,227,84,1,83,0,83,98.81,21,0,3,18,18,42,130,2,202,780,800,72.6,63.1,1,1,1
terraform-linters/tflint,253,110,76,34,0,34,30.91,19,2,8,9,33,134,899,2,1093,721,646,78.2,61.8,20,64,139
terramate-io/terramate,271,128,22,106,0,106,82.81,22,2,9,11,48,199,1275,2,2077,752,698,77.3,65.6,100,232,232
terrastruct/d2,203,60,49,10,1,11,18.33,16,8,1,7,26,20,73,2,187,902,1030,78.3,73.3,17,34,34
testcontainers/testcontainers-go,189,46,32,4,10,14,30.43,13,5,4,4,16,35,70,2,125,726,740,67.4,58.7,591,1137,1164
thanos-io/thanos,251,108,87,21,0,21,19.44,24,5,1,18,103,199,956,2,5703,872,955,77.8,68.5,31,79,137
the-open-agent/openagent,285,142,108,34,0,34,23.94,43,22,18,3,66,160,617,2,1412,817,800,80.3,68.3,1,1,1
TheAlgorithms/Go,155,0,0,0,0,0,0.00,0,0,0,0,0,0,0,1,2,,,,,,,3
thomiceli/opengist,239,96,39,57,0,57,59.38,20,7,4,9,32,85,271,2,395,775,778,74.0,62.5,17,34,34
thrasher-corp/gocryptotrader,228,85,41,44,0,44,51.76,6,0,1,5,28,38,124,2,382,826,939,71.8,64.7,0,0,0
ThreeDotsLabs/watermill,164,20,6,4,10,14,70.00,0,0,0,0,12,12,52,2,106,1008,1232,90.0,80.0,1,1,1
tickstep/aliyunpan,192,49,4,35,10,45,91.84,27,0,2,25,16,12,40,2,115,790,785,69.4,63.3,1,1,1
tidwall/buntdb,159,4,4,0,0,0,0.00,0,0,0,0,7,2,1,2,12,1624,1626,100.0,100.0,7,10,24
tidwall/evio,155,0,0,0,0,0,0.00,0,0,0,0,1,0,0,1,3,,,,,,,10
tidwall/gjson,159,4,0,0,4,4,100.00,0,0,0,0,2,0,1,2,5,1624,1626,100.0,100.0,19,28,68
tidwall/tile38,239,96,51,45,0,45,46.88,23,0,3,20,40,80,374,2,605,837,939,76.0,68.8,17,46,114
tinode/chat,238,95,45,50,0,50,52.63,26,5,1,20,25,73,412,2,674,796,804,74.7,66.3,21,60,93
tinyauthapp/tinyauth,279,136,76,60,0,60,44.12,8,3,0,5,24,151,903,2,1087,762,657,80.1,71.3,1,1,1
tinygo-org/tinygo,157,14,13,0,1,1,7.14,1,0,0,1,21,23,73,2,128,1036,1311,85.7,85.7,17,23,51
tmc/langchaingo,155,12,0,12,0,12,100.00,0,0,0,0,65,223,1050,2,1931,1090,1311,91.7,91.7,28,35,35
TomWright/dasel,161,18,0,6,12,18,100.00,1,0,1,0,11,28,67,2,108,1081,1340,83.3,83.3,1,1,1
traefik/traefik,306,163,108,24,31,55,33.74,20,6,10,4,120,291,1027,2,3205,731,645,76.7,63.8,97,214,550
traefik/yaegi,155,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,3,,,,,,,69
travisjeffery/jocko,155,12,11,0,1,1,8.33,0,0,0,0,55,1,38,2,136,1090,1311,91.7,91.7,0,0,1
treeverse/lakeFS,265,122,86,25,11,36,29.51,26,3,3,20,95,337,1012,2,2390,735,692,77.9,65.6,105,280,317
trufflesecurity/trufflehog,296,153,120,32,1,33,21.57,3,2,1,0,107,199,691,2,1292,761,646,81.0,70.6,148,347,348
tsenart/vegeta,192,49,40,8,1,9,18.37,13,2,1,10,16,20,223,2,288,942,1197,81.6,75.5,5,8,186
tsuru/tsuru,298,155,113,42,0,42,27.10,16,2,0,14,60,86,808,2,1277,777,668,82.6,73.5,48,115,323
tucnak/telebot,159,16,0,0,16,16,100.00,1,0,0,1,3,0,67,2,851,1209,1365,93.8,93.8,24,32,43
tulir/whatsmeow,221,78,70,8,0,8,10.26,20,0,2,18,10,9,36,2,58,779,800,71.8,62.8,0,0,0
turbot/steampipe,278,135,22,113,0,113,83.70,28,0,0,28,41,167,740,2,2428,763,695,79.3,68.1,129,472,495
tus/tusd,234,91,7,84,0,84,92.31,20,1,1,18,29,81,435,2,657,762,785,73.6,65.9,16,52,90
TwiN/gatus,251,108,49,59,0,59,54.63,19,6,7,6,32,62,192,2,347,800,853,75.0,66.7,1,1,1
twpayne/chezmoi,246,103,51,52,0,52,50.49,0,0,0,0,56,155,412,2,677,752,696,75.7,62.1,62,176,259
txn2/kubefwd,245,102,17,85,0,85,83.33,20,2,0,18,21,100,204,2,338,834,874,74.5,64.7,16,30,88
txthinking/brook,238,95,83,12,0,12,12.63,27,6,1,20,17,24,91,2,167,797,814,76.8,63.2,9,25,60
u-root/u-root,158,15,12,1,2,3,20.00,0,0,0,0,59,54,245,2,587,1050,1267,93.3,93.3,6,9,29
uber-go/fx,157,3,3,0,0,0,0.00,1,0,1,0,6,3,11,2,26,944,1413,66.7,66.7,11,16,46
uber-go/goleak,155,0,0,0,0,0,0.00,0,0,0,0,1,5,3,2,16,,,,,,,9
uber-go/mock,155,11,0,0,11,11,100.00,0,0,0,0,3,5,8,2,18,1060,1267,90.9,90.9,8,10,10
uber-go/nilaway,155,11,0,0,11,11,100.00,0,0,0,0,6,7,17,2,32,1060,1267,90.9,90.9,0,0,0
uber-go/zap,155,0,0,0,0,0,0.00,0,0,0,0,4,4,7,2,22,,,,,,,1
uber/kraken,272,129,66,62,1,63,48.84,52,0,0,52,40,80,236,2,771,838,699,82.2,72.1,14,18,23
Ullaakut/cameradar,198,55,0,54,1,55,100.00,6,0,1,5,11,71,201,2,285,906,1171,80.0,72.7,5,8,31
unidoc/unioffice,226,83,7,76,0,76,91.57,25,2,6,17,7,21,41,2,80,767,785,69.9,61.4,1,1,1
unidoc/unipdf,226,83,78,5,0,5,6.02,25,1,6,18,19,9,33,2,72,767,785,69.9,61.4,1,1,1
upper/db,195,52,5,37,10,47,90.38,20,0,4,16,13,37,78,2,292,759,740,67.3,59.6,4,18,82
uptrace/bun,157,3,0,3,0,3,100.00,1,0,1,0,6,9,15,2,41,944,1413,66.7,66.7,253,380,1148
uptrace/uptrace,258,115,85,30,0,30,26.09,36,9,5,22,51,100,411,2,1007,792,713,75.7,67.8,1,1,1
urfave/cli,155,0,0,0,0,0,0.00,0,0,0,0,1,3,3,2,9,,,,,,,200
usefathom/fathom,220,77,32,45,0,45,58.44,38,1,2,35,17,17,38,2,649,790,785,71.4,62.3,1,3,10
usememos/memos,304,161,79,22,60,82,50.93,20,6,10,4,41,99,396,2,541,711,645,83.9,71.4,35,92,92
v2fly/domain-list-community,157,14,2,1,11,12,85.71,0,0,0,0,2,3,89,2,96,1076,1232,92.9,92.9,1,1,1
v2fly/v2ray-core,250,107,96,11,0,11,10.28,20,2,0,18,51,48,291,2,961,802,814,78.5,63.6,1,1,1
v2ray/v2ray-core,224,81,78,0,3,3,3.70,52,12,0,40,19,1,48,2,290,802,892,71.6,64.2,0,0,350
vale-cli/vale,223,80,47,33,0,33,41.25,22,0,0,22,28,31,99,2,190,772,785,70.0,61.3,38,99,190
valyala/fasthttp,218,75,71,3,1,4,5.33,0,0,0,0,6,1,10,2,19,792,892,70.7,62.7,19,49,81
vektra/mockery,163,19,3,6,10,16,84.21,1,0,1,0,19,23,50,2,1093,1048,1325,89.5,78.9,139,218,257
velero-io/velero,243,100,20,80,0,80,80.00,20,1,6,13,60,142,671,2,1607,800,795,75.0,67.0,46,109,182
Velocidex/velociraptor,159,16,12,0,4,4,25.00,0,0,0,0,149,206,806,2,1330,918,1079,87.5,81.3,25,39,95
version-fox/vfox,220,77,35,42,0,42,54.55,30,10,1,19,19,25,64,2,378,799,892,71.4,62.3,32,55,55
VictoriaMetrics/VictoriaMetrics,247,104,49,54,1,55,52.88,13,0,0,13,35,136,790,2,995,821,809,76.9,67.3,331,667,997
ViRb3/wgcf,191,48,29,9,10,19,39.58,0,0,0,0,7,22,58,2,117,773,740,68.8,58.3,1,1,1
virtual-kubelet/virtual-kubelet,238,95,8,87,0,87,91.58,21,2,6,13,29,85,283,2,741,831,939,74.7,66.3,4,8,50
vishvananda/netlink,155,1,1,0,0,0,0.00,0,0,0,0,3,3,4,2,12,1413,1413,100.0,100.0,3,3,7
vitessio/vitess,160,17,11,1,5,6,35.29,0,0,0,0,93,133,684,2,1111,921,1142,82.4,82.4,120,188,286
vouch/vouch-proxy,194,51,44,6,1,7,13.73,7,0,1,6,16,24,47,2,91,882,1030,82.4,72.5,1,1,1
vugu/vugu,158,14,3,1,10,11,78.57,0,0,0,0,8,12,13,2,38,1182,1340,92.9,92.9,2,2,12
wader/fq,220,77,74,3,0,3,3.90,13,0,0,13,14,5,24,2,46,791,892,71.4,63.6,11,28,28
wagoodman/dive,227,84,71,12,1,13,15.48,15,4,1,10,27,82,108,2,263,798,682,85.7,76.2,3,5,30
wavetermdev/waveterm,233,90,34,56,0,56,62.22,20,9,6,5,34,44,413,2,500,807,853,73.3,65.6,142,235,235
wazero/wazero,157,3,3,0,0,0,0.00,0,0,0,0,1,0,1,2,4,944,1413,66.7,66.7,23,35,35
weaviate/weaviate,289,146,101,42,3,45,30.82,24,8,5,11,108,165,721,2,1229,745,646,79.5,69.2,254,468,556
werf/werf,259,116,110,6,0,6,5.17,33,0,0,33,94,305,1302,2,2680,749,682,77.6,70.7,250,719,1859
wgpsec/ENScan_GO,248,105,48,57,0,57,54.29,45,24,1,20,11,62,112,2,199,796,785,78.1,62.9,1,1,1
willnorris/imageproxy,243,100,11,89,0,89,89.00,16,1,0,15,15,64,372,2,493,763,785,73.0,66.0,2,5,19
windtf/wireproxy,215,72,40,32,0,32,44.44,21,0,1,20,8,7,105,2,122,746,740,69.4,61.1,6,15,15
WireGuard/wireguard-go,214,71,71,0,0,0,0.00,26,0,1,25,5,2,96,2,105,748,785,69.0,60.6,2,8,26
woodpecker-ci/woodpecker,265,122,100,22,0,22,18.03,0,0,0,0,72,166,403,2,900,789,785,77.9,66.4,35,75,103
Workiva/go-datastructures,156,1,0,0,1,1,100.00,1,0,1,0,2,0,7,2,32,1375,1375,100.0,100.0,1,1,1
writefreely/writefreely,225,82,74,7,1,8,9.76,22,7,2,13,38,50,50,2,276,780,778,73.2,63.4,3,8,27
wtfutil/wtf,268,125,42,83,0,83,66.40,22,0,0,22,55,120,355,2,606,785,695,80.0,73.6,9,19,79
WuKongIM/WuKongIM,184,41,31,10,0,10,24.39,18,0,0,18,22,63,186,2,311,725,695,65.9,58.5,25,51,51
x-motemen/ghq,187,44,39,4,1,5,11.36,6,5,0,1,9,8,75,2,96,880,1114,81.8,72.7,13,22,85
